R_angstrom,method,orbital_index,occupation
1.25,ext,11,0.00669579
1.25,ext,12,0.00372137
1.25,ext,13,0.00351021
1.25,ext,14,0.00170331
1.25,ext,15,0.00168983
1.25,cipsi,0,1.98607166
1.25,cipsi,1,1.93076960
1.25,cipsi,2,1.89892313
1.25,cipsi,3,1.89891758
1.25,cipsi,4,1.02711134
1.25,cipsi,5,0.09949018
1.25,cipsi,6,0.09948208
1.25,cipsi,7,0.02070995
1.25,cipsi,8,0.00743434
1.25,cipsi,9,0.00687919
1.25,cipsi,10,0.00687566
1.25,cipsi,11,0.00672727
1.25,cipsi,12,0.00370500
1.25,cipsi,13,0.00353931
1.25,cipsi,14,0.00168216
1.25,cipsi,15,0.00168155
1.3,ref,0,1.98482549
1.3,ref,1,1.92594736
1.3,ref,2,1.88796698
1.3,ref,3,1.88796690
1.3,ref,4,1.02858063
1.3,ref,5,0.11078646
1.3,ref,6,0.11078638
1.3,ref,7,0.02412780
1.3,ref,8,0.00748291
1.3,ref,9,0.00691952
1.3,ref,10,0.00691952
1.3,ref,11,0.00684314
1.3,ref,12,0.00365879
1.3,ref,13,0.00356746
1.3,ref,14,0.00181033
1.3,ref,15,0.00181033
1.3,ext,0,1.98494281
1.3,ext,1,1.92645842
1.3,ext,2,1.88886615
1.3,ext,3,1.88872373
1.3,ext,4,1.02856197
1.3,ext,5,0.11006389
1.3,ext,6,0.10990856
1.3,ext,7,0.02380410
1.3,ext,8,0.00736074
1.3,ext,9,0.00687657
1.3,ext,10,0.00685285
1.3,ext,11,0.00676999
1.3,ext,12,0.00365936
1.3,ext,13,0.00351510
1.3,ext,14,0.00182421
1.3,ext,15,0.00181155
1.3,cipsi,0,1.98492534
1.3,cipsi,1,1.92612404
1.3,cipsi,2,1.88811929
1.3,cipsi,3,1.88809388
1.3,cipsi,4,1.02858833
1.3,cipsi,5,0.11067767
1.3,cipsi,6,0.11065207
1.3,cipsi,7,0.02403536
1.3,cipsi,8,0.00742160
1.3,cipsi,9,0.00688682
1.3,cipsi,10,0.00687566
1.3,cipsi,11,0.00680554
1.3,cipsi,12,0.00363266
1.3,cipsi,13,0.00355035
1.3,cipsi,14,0.00180773
1.3,cipsi,15,0.00180366
1.35,ref,0,1.98365616
1.35,ref,1,1.92169355
1.35,ref,2,1.87600543
1.35,ref,3,1.87600543
1.35,ref,4,1.02939195
1.35,ref,5,0.12304634
1.35,ref,6,0.12304634
1.35,ref,7,0.02776483
1.35,ref,8,0.00754195
1.35,ref,9,0.00697276
1.35,ref,10,0.00697276
1.35,ref,11,0.00684502
1.35,ref,12,0.00361239
1.35,ref,13,0.00356638
1.35,ref,14,0.00193935
1.35,ref,15,0.00193935
1.35,ext,0,1.98379317
1.35,ext,1,1.92226177
1.35,ext,2,1.87709362
1.35,ext,3,1.87697660
1.35,ext,4,1.02934749
1.35,ext,5,0.12211003
1.35,ext,6,0.12198802
1.35,ext,7,0.02738315
1.35,ext,8,0.00740808
1.35,ext,9,0.00693348
1.35,ext,10,0.00690900
1.35,ext,11,0.00676721
1.35,ext,12,0.00361395
1.35,ext,13,0.00351981
1.35,ext,14,0.00195565
1.35,ext,15,0.00193899
1.35,cipsi,0,1.98375565
1.35,cipsi,1,1.92187055
1.35,cipsi,2,1.87616986
1.35,cipsi,3,1.87615960
1.35,cipsi,4,1.02940894
1.35,cipsi,5,0.12292106
1.35,cipsi,6,0.12290808
1.35,cipsi,7,0.02765115
1.35,cipsi,8,0.00747187
1.35,cipsi,9,0.00693947
1.35,cipsi,10,0.00693519
1.35,cipsi,11,0.00680936
1.35,cipsi,12,0.00358668
1.35,cipsi,13,0.00354430
1.35,cipsi,14,0.00193500
1.35,cipsi,15,0.00193322
1.4,ref,0,1.98249963
1.4,ref,1,1.91779405
1.4,ref,2,1.86279611
1.4,ref,3,1.86279610
1.4,ref,4,1.02961485
1.4,ref,5,0.13648042
1.4,ref,6,0.13648041
1.4,ref,7,0.03165721
1.4,ref,8,0.00764598
1.4,ref,9,0.00706967
1.4,ref,10,0.00706967
1.4,ref,11,0.00679228
1.4,ref,12,0.00358607
1.4,ref,13,0.00357070
1.4,ref,14,0.00207342
1.4,ref,15,0.00207342
1.4,ext,0,1.98269375
1.4,ext,1,1.91849385
1.4,ext,2,1.86414924
1.4,ext,3,1.86399775
1.4,ext,4,1.02946603
1.4,ext,5,0.13532392
1.4,ext,6,0.13516789
1.4,ext,7,0.03123952
1.4,ext,8,0.00747677
1.4,ext,9,0.00702247
1.4,ext,10,0.00700163
1.4,ext,11,0.00670224
1.4,ext,12,0.00358933
1.4,ext,13,0.00352768
1.4,ext,14,0.00208117
1.4,ext,15,0.00206676
1.4,cipsi,0,1.98264984
1.4,cipsi,1,1.91801605
1.4,cipsi,2,1.86303865
1.4,cipsi,3,1.86300949
1.4,cipsi,4,1.02961929
1.4,cipsi,5,0.13630231
1.4,cipsi,6,0.13624969
1.4,cipsi,7,0.03149731
1.4,cipsi,8,0.00758484
1.4,cipsi,9,0.00703457
1.4,cipsi,10,0.00701897
1.4,cipsi,11,0.00673412
1.4,cipsi,12,0.00356188
1.4,cipsi,13,0.00355146
1.4,cipsi,14,0.00206618
1.4,cipsi,15,0.00206533
1.45,ref,0,1.98139156
1.45,ref,1,1.91418603
1.45,ref,2,1.84842945
1.45,ref,3,1.84842944
1.45,ref,4,1.02927485
1.45,ref,5,0.15101373
1.45,ref,6,0.15101372
1.45,ref,7,0.03579083
1.45,ref,8,0.00777090
1.45,ref,9,0.00720448
1.45,ref,10,0.00720448
1.45,ref,11,0.00669912
1.45,ref,12,0.00358724
1.45,ref,13,0.00358258
1.45,ref,14,0.00221080
1.45,ref,15,0.00221080
1.45,ext,0,1.98163147
1.45,ext,1,1.91488288
1.45,ext,2,1.84992782
1.45,ext,3,1.84982673
1.45,ext,4,1.02902428
1.45,ext,5,0.14965297
1.45,ext,6,0.14957725
1.45,ext,7,0.03541245
1.45,ext,8,0.00758589
1.45,ext,9,0.00716472
1.45,ext,10,0.00714466
1.45,ext,11,0.00660771
1.45,ext,12,0.00358837
1.45,ext,13,0.00355852
1.45,ext,14,0.00221780
1.45,ext,15,0.00219649
1.45,cipsi,0,1.98151910
1.45,cipsi,1,1.91440903
1.45,cipsi,2,1.84866616
1.45,cipsi,3,1.84864118
1.45,cipsi,4,1.02929368
1.45,cipsi,5,0.15083229
1.45,cipsi,6,0.15080961
1.45,cipsi,7,0.03563243
1.45,cipsi,8,0.00770654
1.45,cipsi,9,0.00716437
1.45,cipsi,10,0.00716218
1.45,cipsi,11,0.00664605
1.45,cipsi,12,0.00356107
1.45,cipsi,13,0.00355265
1.45,cipsi,14,0.00220313
1.45,cipsi,15,0.00220051
1.5,ref,0,1.98046773
1.5,ref,1,1.91143588
1.5,ref,2,1.83242811
1.5,ref,3,1.83242810
1.5,ref,4,1.02791833
1.5,ref,5,0.16705780
1.5,ref,6,0.16705778
1.5,ref,7,0.04016194
1.5,ref,8,0.00787026
1.5,ref,9,0.00737290
1.5,ref,10,0.00737290
1.5,ref,11,0.00660301
1.5,ref,12,0.00358197
1.5,ref,13,0.00355081
1.5,ref,14,0.00234624
1.5,ref,15,0.00234624
1.5,ext,0,1.98081807
1.5,ext,1,1.91237123
1.5,ext,2,1.83479247
1.5,ext,3,1.83447385
1.5,ext,4,1.02760213
1.5,ext,5,0.16511430
1.5,ext,6,0.16476231
1.5,ext,7,0.03959263
1.5,ext,8,0.00760617
1.5,ext,9,0.00731329
1.5,ext,10,0.00729450
1.5,ext,11,0.00647256
1.5,ext,12,0.00359033
1.5,ext,13,0.00353593
1.5,ext,14,0.00233327
1.5,ext,15,0.00232696
1.5,cipsi,0,1.98062403
1.5,cipsi,1,1.91171399
1.5,cipsi,2,1.83277596
1.5,cipsi,3,1.83275978
1.5,cipsi,4,1.02794195
1.5,cipsi,5,0.16677146
1.5,cipsi,6,0.16675362
1.5,cipsi,7,0.03994825
1.5,cipsi,8,0.00778296
1.5,cipsi,9,0.00732318
1.5,cipsi,10,0.00732054
1.5,cipsi,11,0.00654240
1.5,cipsi,12,0.00354651
1.5,cipsi,13,0.00353382
1.5,cipsi,14,0.00233165
1.5,cipsi,15,0.00232991
1.6,ref,0,1.98176168
1.6,ref,1,1.94669274
1.6,ref,2,1.92302220
1.6,ref,3,1.82008616
1.6,ref,4,0.96657423
1.6,ref,5,0.18387995
1.6,ref,6,0.07109703
1.6,ref,7,0.06281404
1.6,ref,8,0.01099479
1.6,ref,9,0.00799836
1.6,ref,10,0.00765717
1.6,ref,11,0.00526831
1.6,ref,12,0.00468902
1.6,ref,13,0.00401995
1.6,ref,14,0.00238122
1.6,ref,15,0.00106316
1.6,ext,0,1.98197765
1.6,ext,1,1.94713126
1.6,ext,2,1.92366902
1.6,ext,3,1.82035590
1.6,ext,4,0.96689617
1.6,ext,5,0.18338085
1.6,ext,6,0.07067816
1.6,ext,7,0.06223041
1.6,ext,8,0.01083712
1.6,ext,9,0.00794583
1.6,ext,10,0.00754771
1.6,ext,11,0.00525260
1.6,ext,12,0.00464326
1.6,ext,13,0.00401047
1.6,ext,14,0.00237833
1.6,ext,15,0.00106528
1.6,cipsi,0,1.98193277
1.6,cipsi,1,1.94701937
1.6,cipsi,2,1.92333395
1.6,cipsi,3,1.82027447
1.6,cipsi,4,0.96662919
1.6,cipsi,5,0.18369738
1.6,cipsi,6,0.07089718
1.6,cipsi,7,0.06256612
1.6,cipsi,8,0.01087473
1.6,cipsi,9,0.00793526
1.6,cipsi,10,0.00757133
1.6,cipsi,11,0.00523331
1.6,cipsi,12,0.00463122
1.6,cipsi,13,0.00398127
1.6,cipsi,14,0.00236774
1.6,cipsi,15,0.00105468
1.7,ref,0,1.98221494
1.7,ref,1,1.94181645
1.7,ref,2,1.90943168
1.7,ref,3,1.76611301
1.7,ref,4,0.96367511
1.7,ref,5,0.23597569
1.7,ref,6,0.08070668
1.7,ref,7,0.07508087
1.7,ref,8,0.01087525
1.7,ref,9,0.00832970
1.7,ref,10,0.00764468
1.7,ref,11,0.00523255
1.7,ref,12,0.00510668
1.7,ref,13,0.00401609
1.7,ref,14,0.00276976
1.7,ref,15,0.00101087
1.7,ext,0,1.98248479
1.7,ext,1,1.94236696
1.7,ext,2,1.91033028
1.7,ext,3,1.76648069
1.7,ext,4,0.96410326
1.7,ext,5,0.23533058
1.7,ext,6,0.07987318
1.7,ext,7,0.07452643
1.7,ext,8,0.01068064
1.7,ext,9,0.00826643
1.7,ext,10,0.00751193
1.7,ext,11,0.00517967
1.7,ext,12,0.00508699
1.7,ext,13,0.00399895
1.7,ext,14,0.00276436
1.7,ext,15,0.00101485
1.7,cipsi,0,1.98237312
1.7,cipsi,1,1.94213866
1.7,cipsi,2,1.90975766
1.7,cipsi,3,1.76642007
1.7,cipsi,4,0.96369836
1.7,cipsi,5,0.23568936
1.7,cipsi,6,0.08042246
1.7,cipsi,7,0.07493841
1.7,cipsi,8,0.01076165
1.7,cipsi,9,0.00826824
1.7,cipsi,10,0.00756627
1.7,cipsi,11,0.00517484
1.7,cipsi,12,0.00506137
1.7,cipsi,13,0.00397345
1.7,cipsi,14,0.00275323
1.7,cipsi,15,0.00100285
