R_angstrom,method,root_index,E_root_Ha,overlap_sq_D0,overlap_sq_D1,overlap_sq_D2,overlap_sq_Q1
1.1,CIPSI_EN_SQD,14,-91.9912026958,8.250195e-14,8.443582e-20,1.057933e-21,4.466746e-09
1.15,ExtSQD,0,-92.3904932596,9.999080e-01,1.965177e-21,8.365005e-22,3.780308e-08
1.15,ExtSQD,1,-92.3263726698,5.220323e-22,8.028291e-02,9.196248e-01,2.998208e-21
1.15,ExtSQD,2,-92.3263570169,2.280798e-21,9.196199e-01,8.028263e-02,5.955600e-21
1.15,ExtSQD,3,-92.2626421317,2.235581e-08,1.581332e-22,2.345065e-22,5.017448e-07
1.15,ExtSQD,4,-92.1544706189,3.034010e-08,9.783791e-30,4.574740e-21,9.996070e-01
1.15,ExtSQD,5,-92.1057125919,2.134781e-08,5.876252e-21,1.933262e-20,2.582120e-05
1.15,ExtSQD,6,-92.1034673098,8.405376e-09,1.803443e-20,8.590784e-20,8.364984e-07
1.15,ExtSQD,7,-92.0789232023,7.267639e-10,4.696247e-20,1.244118e-19,2.135963e-08
1.15,ExtSQD,8,-92.0774923450,4.089867e-20,2.425966e-09,3.313328e-13,1.408107e-21
1.15,ExtSQD,9,-92.0770782363,2.308940e-20,1.994376e-08,1.524828e-09,3.720351e-19
1.15,ExtSQD,10,-92.0602300359,3.734406e-20,2.024151e-10,3.569762e-10,2.848487e-19
1.15,ExtSQD,11,-92.0600151966,6.208721e-19,1.499176e-10,3.919289e-10,2.370252e-18
1.15,ExtSQD,12,-92.0538994070,6.046156e-08,7.350474e-21,6.044801e-20,3.973857e-07
1.15,ExtSQD,13,-92.0417553725,1.731065e-09,4.929858e-23,6.545821e-20,1.510745e-08
1.15,ExtSQD,14,-92.0381714499,9.161797e-09,1.885402e-20,1.717381e-19,7.062515e-07
1.15,CIPSI_EN_SQD,0,-92.3906523112,9.999638e-01,9.070842e-22,5.256694e-23,1.779593e-11
1.15,CIPSI_EN_SQD,1,-92.3265192449,4.255930e-24,4.566114e-02,9.543001e-01,1.848067e-22
1.15,CIPSI_EN_SQD,2,-92.3264943697,2.296206e-22,9.542937e-01,4.566088e-02,4.951989e-22
1.15,CIPSI_EN_SQD,3,-92.2628396366,1.452720e-09,3.379868e-23,2.243253e-22,1.036352e-07
1.15,CIPSI_EN_SQD,4,-92.1550476732,2.798139e-11,2.869471e-22,3.008225e-22,9.999059e-01
1.15,CIPSI_EN_SQD,5,-92.1060493601,2.773825e-10,5.816901e-21,4.921145e-21,5.823112e-07
1.15,CIPSI_EN_SQD,6,-92.1037447671,3.316266e-10,7.943460e-21,2.822392e-20,1.812305e-08
1.15,CIPSI_EN_SQD,7,-92.0791561348,1.448646e-13,2.864977e-20,6.887510e-20,3.291313e-09
1.15,CIPSI_EN_SQD,8,-92.0776213328,1.780590e-20,9.040400e-12,2.504650e-10,2.236824e-19
1.15,CIPSI_EN_SQD,9,-92.0773792775,1.739668e-21,8.470297e-11,8.343601e-13,1.018794e-19
1.15,CIPSI_EN_SQD,10,-92.0604295517,5.469495e-20,3.715688e-11,7.474457e-10,1.348402e-18
1.15,CIPSI_EN_SQD,11,-92.0602574601,1.164095e-19,1.154263e-10,7.125132e-12,1.039455e-21
1.15,CIPSI_EN_SQD,12,-92.0543053800,1.826133e-09,3.468654e-21,1.261242e-22,1.918684e-06
1.15,CIPSI_EN_SQD,13,-92.0419803031,1.300630e-10,1.625209e-20,2.737098e-20,2.528832e-09
1.15,CIPSI_EN_SQD,14,-92.0384457761,4.059527e-10,4.954088e-20,5.170989e-19,3.283490e-09
1.2,ExtSQD,0,-92.3951001087,9.998080e-01,6.957324e-27,1.343234e-26,5.001772e-08
1.2,ExtSQD,1,-92.3414948276,2.029401e-26,9.446966e-01,5.512537e-02,1.348742e-26
1.2,ExtSQD,2,-92.3414180045,9.110544e-24,5.512391e-02,9.446716e-01,3.989327e-24
1.2,ExtSQD,3,-92.2645492567,2.210777e-07,2.566366e-26,8.892858e-26,1.032933e-05
1.2,ExtSQD,4,-92.1861132466,3.720800e-08,6.165624e-27,1.815896e-26,9.991971e-01
1.2,ExtSQD,5,-92.1376503481,8.416314e-08,2.818657e-27,3.099335e-26,6.162110e-05
1.2,ExtSQD,6,-92.1351780741,8.808115e-09,5.942107e-30,1.021477e-28,4.994521e-06
1.2,ExtSQD,7,-92.1113560409,9.410364e-11,2.924378e-26,5.344360e-26,7.105275e-09
1.2,ExtSQD,8,-92.0858639280,6.668608e-08,1.912032e-27,1.006869e-25,1.107432e-05
1.2,ExtSQD,9,-92.0744203259,1.204878e-10,6.677556e-27,1.384792e-26,9.813821e-09
1.2,ExtSQD,10,-92.0708997362,1.306920e-09,3.752481e-26,1.041262e-26,4.695799e-07
