R_angstrom,n_configs,cumulative_weight
1.3,1334,99.9988394780
1.3,1377,99.9989824357
1.3,1420,99.9991030400
1.3,1463,99.9992086248
1.3,1506,99.9993006655
1.3,1549,99.9993782795
1.3,1592,99.9994467746
1.3,1635,99.9995085284
1.3,1678,99.9995635022
1.3,1721,99.9996120330
1.3,1764,99.9996551376
1.3,1807,99.9996922787
1.3,1850,99.9997254056
1.3,1893,99.9997550080
1.3,1936,99.9997808548
1.3,1979,99.9998039535
1.3,2022,99.9998250576
1.3,2065,99.9998440132
1.3,2108,99.9998613016
1.3,2151,99.9998768633
1.3,2194,99.9998908819
1.3,2237,99.9999034227
1.3,2280,99.9999146402
1.3,2323,99.9999245870
1.3,2366,99.9999335655
1.3,2409,99.9999414506
1.3,2452,99.9999484878
1.3,2495,99.9999547173
1.3,2538,99.9999601335
1.3,2581,99.9999649404
1.3,2624,99.9999692241
1.3,2667,99.9999730227
1.3,2710,99.9999763081
1.3,2753,99.9999791715
1.3,2796,99.9999816918
1.3,2839,99.9999839743
1.3,2882,99.9999859570
1.3,2925,99.9999876833
1.3,2968,99.9999892403
1.3,3011,99.9999906419
1.3,3054,99.9999918918
1.3,3097,99.9999930197
1.3,3140,99.9999940376
1.3,3183,99.9999949642
1.3,3226,99.9999958022
1.3,3269,99.9999965350
1.3,3312,99.9999971625
1.3,3355,99.9999976848
1.3,3398,99.9999981347
1.3,3441,99.9999985063
1.3,3484,99.9999988119
1.3,3527,99.9999990571
1.3,3570,99.9999992703
1.3,3613,99.9999994460
1.3,3656,99.9999995891
1.3,3699,99.9999996997
1.3,3742,99.9999997871
1.3,3785,99.9999998604
1.3,3828,99.9999999154
1.3,3871,99.9999999532
1.3,3914,99.9999999770
1.3,3957,99.9999999925
1.3,4000,99.9999999996
1.3,4043,100.0000000000
1.3,4086,100.0000000000
1.3,4129,100.0000000000
1.3,4172,100.0000000000
1.3,4215,100.0000000000
1.3,4258,100.0000000000
1.3,4301,100.0000000000
1.3,4344,100.0000000000
1.3,4368,100.0000000000
1.35,1,83.8411903135
1.35,44,98.6039257362
1.35,87,99.3863621113
1.35,130,99.6780778354
1.35,173,99.7876731628
1.35,216,99.8498710229
1.35,259,99.8918324637
1.35,302,99.9191192986
1.35,345,99.9380641046
1.35,388,99.9507388545
1.35,431,99.9600209934
1.35,474,99.9668848229
1.35,517,99.9724408049
1.35,560,99.9770502152
1.35,603,99.9809062549
1.35,646,99.9840231755
1.35,689,99.9865451154
1.35,732,99.9886033263
1.35,775,99.9903149531
