R_angstrom,method,orbital_index,occupation
1.15,ext,14,0.00153389
1.15,ext,15,0.00062237
1.15,cipsi,0,1.98638159
1.15,cipsi,1,1.97258891
1.15,cipsi,2,1.97158851
1.15,cipsi,3,1.92270667
1.15,cipsi,4,1.92270445
1.15,cipsi,5,0.07816067
1.15,cipsi,6,0.07815852
1.15,cipsi,7,0.02371396
1.15,cipsi,8,0.01195870
1.15,cipsi,9,0.00932947
1.15,cipsi,10,0.00669949
1.15,cipsi,11,0.00669855
1.15,cipsi,12,0.00562676
1.15,cipsi,13,0.00153161
1.15,cipsi,14,0.00153150
1.15,cipsi,15,0.00062063
1.2,ref,0,1.98550708
1.2,ref,1,1.97226122
1.2,ref,2,1.96777197
1.2,ref,3,1.91148918
1.2,ref,4,1.91148918
1.2,ref,5,0.08944729
1.2,ref,6,0.08944729
1.2,ref,7,0.02823980
1.2,ref,8,0.01193839
1.2,ref,9,0.00926580
1.2,ref,10,0.00673083
1.2,ref,11,0.00673083
1.2,ref,12,0.00565310
1.2,ref,13,0.00165496
1.2,ref,14,0.00165496
1.2,ref,15,0.00071814
1.2,ext,0,1.98550736
1.2,ext,1,1.97226162
1.2,ext,2,1.96777231
1.2,ext,3,1.91148965
1.2,ext,4,1.91148962
1.2,ext,5,0.08944699
1.2,ext,6,0.08944689
1.2,ext,7,0.02823958
1.2,ext,8,0.01193811
1.2,ext,9,0.00926557
1.2,ext,10,0.00673068
1.2,ext,11,0.00673066
1.2,ext,12,0.00565298
1.2,ext,13,0.00165493
1.2,ext,14,0.00165493
1.2,ext,15,0.00071812
1.2,cipsi,0,1.98553492
1.2,cipsi,1,1.97229931
1.2,cipsi,2,1.96779823
1.2,cipsi,3,1.91153082
1.2,cipsi,4,1.91152775
1.2,cipsi,5,0.08940707
1.2,cipsi,6,0.08940327
1.2,cipsi,7,0.02821432
1.2,cipsi,8,0.01192320
1.2,cipsi,9,0.00925181
1.2,cipsi,10,0.00672147
1.2,cipsi,11,0.00671985
1.2,cipsi,12,0.00564671
1.2,cipsi,13,0.00165259
1.2,cipsi,14,0.00165237
1.2,cipsi,15,0.00071631
1.25,ref,0,1.98477584
1.25,ref,1,1.97201513
1.25,ref,2,1.96329384
1.25,ref,3,1.89859165
1.25,ref,4,1.89859165
1.25,ref,5,0.10234821
1.25,ref,6,0.10234821
1.25,ref,7,0.03335056
1.25,ref,8,0.01190206
1.25,ref,9,0.00918824
1.25,ref,10,0.00677765
1.25,ref,11,0.00677765
1.25,ref,12,0.00564204
1.25,ref,13,0.00178749
1.25,ref,14,0.00178749
1.25,ref,15,0.00082229
1.25,ext,0,1.98477693
1.25,ext,1,1.97201717
1.25,ext,2,1.96329527
1.25,ext,3,1.89859199
1.25,ext,4,1.89859194
1.25,ext,5,0.10234684
1.25,ext,6,0.10234675
1.25,ext,7,0.03335013
1.25,ext,8,0.01190182
1.25,ext,9,0.00918809
1.25,ext,10,0.00677710
1.25,ext,11,0.00677708
1.25,ext,12,0.00564197
1.25,ext,13,0.00178733
1.25,ext,14,0.00178732
1.25,ext,15,0.00082227
1.25,cipsi,0,1.98482099
1.25,cipsi,1,1.97210148
1.25,cipsi,2,1.96333411
1.25,cipsi,3,1.89863472
1.25,cipsi,4,1.89863335
1.25,cipsi,5,0.10228889
1.25,cipsi,6,0.10228811
1.25,cipsi,7,0.03331534
1.25,cipsi,8,0.01188290
1.25,cipsi,9,0.00917000
1.25,cipsi,10,0.00675732
1.25,cipsi,11,0.00675678
1.25,cipsi,12,0.00562923
1.25,cipsi,13,0.00178341
1.25,cipsi,14,0.00178324
1.25,cipsi,15,0.00082012
1.3,ref,0,1.98414222
1.3,ref,1,1.97183616
1.3,ref,2,1.95809878
1.3,ref,3,1.88368887
1.3,ref,4,1.88368887
1.3,ref,5,0.11717049
1.3,ref,6,0.11717049
1.3,ref,7,0.03910996
1.3,ref,8,0.01186379
1.3,ref,9,0.00911001
1.3,ref,10,0.00685578
1.3,ref,11,0.00685578
1.3,ref,12,0.00560934
1.3,ref,13,0.00193280
1.3,ref,14,0.00193280
1.3,ref,15,0.00093386
1.3,ext,0,1.98414318
1.3,ext,1,1.97183819
1.3,ext,2,1.95810012
1.3,ext,3,1.88368920
1.3,ext,4,1.88368918
1.3,ext,5,0.11716921
1.3,ext,6,0.11716918
1.3,ext,7,0.03910948
1.3,ext,8,0.01186350
1.3,ext,9,0.00910984
1.3,ext,10,0.00685530
1.3,ext,11,0.00685529
1.3,ext,12,0.00560927
1.3,ext,13,0.00193261
1.3,ext,14,0.00193261
1.3,ext,15,0.00093384
1.3,cipsi,0,1.98419636
1.3,cipsi,1,1.97193943
1.3,cipsi,2,1.95814392
1.3,cipsi,3,1.88373616
1.3,cipsi,4,1.88373558
1.3,cipsi,5,0.11710202
1.3,cipsi,6,0.11709899
1.3,cipsi,7,0.03906669
1.3,cipsi,8,0.01184128
1.3,cipsi,9,0.00908853
1.3,cipsi,10,0.00683550
1.3,cipsi,11,0.00683404
1.3,cipsi,12,0.00559516
1.3,cipsi,13,0.00192768
1.3,cipsi,14,0.00192753
1.3,cipsi,15,0.00093115
1.35,ref,0,1.98360022
1.35,ref,1,1.97174378
1.35,ref,2,1.95214070
1.35,ref,3,1.86643699
1.35,ref,4,1.86643699
1.35,ref,5,0.13424166
1.35,ref,6,0.13424166
1.35,ref,7,0.04557128
1.35,ref,8,0.01182529
1.35,ref,9,0.00903139
1.35,ref,10,0.00696604
1.35,ref,11,0.00696604
1.35,ref,12,0.00556261
1.35,ref,13,0.00209199
1.35,ref,14,0.00209199
1.35,ref,15,0.00105136
1.35,ext,0,1.98360109
1.35,ext,1,1.97174582
1.35,ext,2,1.95214207
1.35,ext,3,1.86643747
1.35,ext,4,1.86643742
1.35,ext,5,0.13424028
1.35,ext,6,0.13424020
1.35,ext,7,0.04557072
1.35,ext,8,0.01182496
1.35,ext,9,0.00903120
1.35,ext,10,0.00696567
1.35,ext,11,0.00696564
1.35,ext,12,0.00556254
1.35,ext,13,0.00209180
1.35,ext,14,0.00209179
1.35,ext,15,0.00105134
1.35,cipsi,0,1.98366308
1.35,cipsi,1,1.97184622
1.35,cipsi,2,1.95218685
1.35,cipsi,3,1.86650687
1.35,cipsi,4,1.86650453
1.35,cipsi,5,0.13415509
1.35,cipsi,6,0.13415114
1.35,cipsi,7,0.04552245
1.35,cipsi,8,0.01179842
1.35,cipsi,9,0.00900991
1.35,cipsi,10,0.00694338
1.35,cipsi,11,0.00694293
1.35,cipsi,12,0.00554791
1.35,cipsi,13,0.00208654
1.35,cipsi,14,0.00208599
1.35,cipsi,15,0.00104871
1.4,ref,0,1.98315366
1.4,ref,1,1.97175500
1.4,ref,2,1.94534862
1.4,ref,3,1.84643160
1.4,ref,4,1.84643160
1.4,ref,5,0.15395325
1.4,ref,6,0.15395325
1.4,ref,7,0.05280549
1.4,ref,8,0.01178873
1.4,ref,9,0.00895358
1.4,ref,10,0.00710552
1.4,ref,11,0.00710552
1.4,ref,12,0.00550931
1.4,ref,13,0.00226598
1.4,ref,14,0.00226598
1.4,ref,15,0.00117291
1.4,ext,0,1.98315450
1.4,ext,1,1.97175699
1.4,ext,2,1.94535017
1.4,ext,3,1.84643209
1.4,ext,4,1.84643204
1.4,ext,5,0.15395183
1.4,ext,6,0.15395180
1.4,ext,7,0.05280480
1.4,ext,8,0.01178841
1.4,ext,9,0.00895340
1.4,ext,10,0.00710517
1.4,ext,11,0.00710513
1.4,ext,12,0.00550922
1.4,ext,13,0.00226578
1.4,ext,14,0.00226578
1.4,ext,15,0.00117288
