R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
2.4,T2,-108.7532808201,-108.7529130212,-108.7526787038,0.3678,0.6021,2.088312,2.000004,2.000071
2.5,S0,-108.8541194587,-108.8540806193,-108.8537876469,0.0388,0.3318,0.000000,0.000057,0.005010
2.5,T1,-108.8521547734,-108.8521052481,-108.8519488539,0.0495,0.2059,2.000000,2.000023,2.001060
2.5,T2,-108.7528192824,-108.7527361704,-108.7510658887,0.0831,1.7534,2.000011,2.002271,2.000117
2.6,S0,-108.8531135515,-108.8531005524,-108.8529071301,0.0130,0.2064,0.000000,0.000020,0.000165
2.6,T1,-108.8516945306,-108.8516766663,-108.8514963994,0.0179,0.1981,2.000000,2.000008,2.000064
2.6,T2,-108.7503261901,-108.7503201038,-108.7500840185,0.0061,0.2422,2.000057,2.000010,2.000065
2.7,S0,-108.8524162166,-108.8523773736,-108.8521057202,0.0388,0.3105,0.000000,0.000162,0.016996
2.7,T1,-108.8513947226,-108.8513438023,-108.8512062101,0.0509,0.1885,2.000000,2.000044,2.003398
2.7,T2,-108.7498670958,-108.7494728931,-108.7491348491,0.3942,0.7322,2.041305,2.000026,2.000143
2.8,S0,-108.8519208845,-108.8519011110,-108.8517082509,0.0198,0.2126,0.000000,0.000125,0.003785
2.8,T1,-108.8511884894,-108.8511609237,-108.8510178737,0.0276,0.1706,2.000000,2.000032,2.000664
2.8,T2,-108.7488613596,-108.7488539274,-108.7485598949,0.0074,0.3015,2.001427,2.000051,2.001125
2.9,S0,-108.8515600966,-108.8515362828,-108.8513238124,0.0238,0.2363,0.000000,0.000177,0.034373
2.9,T1,-108.8510370560,-108.8510065229,-108.8508887647,0.0305,0.1483,2.000000,2.000043,2.006546
2.9,T2,-108.7485248553,-108.7485180018,-108.7480681097,0.0069,0.4567,2.000000,2.000039,2.000092
3.0,S0,-108.8512900678,-108.8512592229,-108.8511342356,0.0308,0.1558,0.000000,0.001569,0.007456
3.0,T1,-108.8509178344,-108.8508722080,-108.8507919440,0.0456,0.1259,2.000000,2.000346,2.001426
3.0,T2,-108.7481081337,-108.7481077692,-108.7478447943,0.0004,0.2633,2.001476,2.000034,2.042006
