R_angstrom,n_configs,cumulative_weight
1.05,44,99.1825201096
1.05,87,99.6841242922
1.05,130,99.8295806467
1.05,173,99.8930785471
1.05,216,99.9222149069
1.05,259,99.9411528750
1.05,302,99.9538058177
1.05,345,99.9626221477
1.05,388,99.9693253281
1.05,431,99.9744734255
1.05,474,99.9783931947
1.05,517,99.9816411940
1.05,560,99.9842973087
1.05,603,99.9865537347
1.05,646,99.9885038656
1.05,689,99.9900765136
1.05,732,99.9913734818
1.05,775,99.9925142933
1.05,818,99.9934669158
1.05,861,99.9942708872
1.05,904,99.9949710824
1.05,947,99.9955786021
1.05,990,99.9961009751
1.05,1033,99.9965442967
1.05,1076,99.9969348909
1.05,1119,99.9972884587
1.05,1162,99.9975927620
1.05,1205,99.9978503676
1.05,1248,99.9980646497
1.05,1291,99.9982519318
1.05,1334,99.9984161543
1.05,1377,99.9985656232
1.05,1420,99.9986995017
1.05,1463,99.9988198418
1.05,1506,99.9989266483
1.05,1549,99.9990242195
1.05,1592,99.9991121114
1.05,1635,99.9991936154
1.05,1678,99.9992688033
1.05,1721,99.9993375071
1.05,1764,99.9993990787
1.05,1807,99.9994538319
1.05,1850,99.9995032276
1.05,1893,99.9995485217
1.05,1936,99.9995898785
1.05,1979,99.9996282183
1.05,2022,99.9996633957
1.05,2065,99.9996959889
1.05,2108,99.9997259787
1.05,2151,99.9997535647
1.05,2194,99.9997793666
1.05,2237,99.9998031948
1.05,2280,99.9998249245
1.05,2323,99.9998444918
1.05,2366,99.9998623228
1.05,2409,99.9998780164
1.05,2452,99.9998921111
1.05,2495,99.9999045391
1.05,2538,99.9999153596
1.05,2581,99.9999251406
1.05,2624,99.9999340378
1.05,2667,99.9999420580
1.05,2710,99.9999489472
1.05,2753,99.9999550345
1.05,2796,99.9999605226
1.05,2839,99.9999652850
1.05,2882,99.9999694020
1.05,2925,99.9999730518
1.05,2968,99.9999762794
1.05,3011,99.9999789987
1.05,3054,99.9999814155
1.05,3097,99.9999836091
1.05,3140,99.9999855611
1.05,3183,99.9999873039
1.05,3226,99.9999888933
1.05,3269,99.9999903426
1.05,3312,99.9999916503
1.05,3355,99.9999928442
1.05,3398,99.9999939056
1.05,3441,99.9999948474
1.05,3484,99.9999956952
1.05,3527,99.9999964468
1.05,3570,99.9999970882
1.05,3613,99.9999976449
1.05,3656,99.9999981285
1.05,3699,99.9999985511
1.05,3742,99.9999989041
1.05,3785,99.9999991960
1.05,3828,99.9999994391
1.05,3871,99.9999996244
1.05,3914,99.9999997632
1.05,3957,99.9999998658
1.05,4000,99.9999999394
1.05,4043,99.9999999865
1.05,4086,100.0000000000
1.05,4129,100.0000000000
1.05,4172,100.0000000000
1.05,4215,100.0000000000
1.05,4258,100.0000000000
1.05,4301,100.0000000000
1.05,4344,100.0000000000
1.05,4368,100.0000000000
1.1,1,91.0993797616
1.1,44,99.1660932571
1.1,87,99.6749234452
1.1,130,99.8121471102
1.1,173,99.8845769226
1.1,216,99.9171124777
1.1,259,99.9361897934
1.1,302,99.9506391624
1.1,345,99.9609872389
1.1,388,99.9679492845
1.1,431,99.9730012536
1.1,474,99.9770051121
1.1,517,99.9803963990
1.1,560,99.9832279081
1.1,603,99.9855919903
1.1,646,99.9876213687
1.1,689,99.9893020356
1.1,732,99.9906961868
1.1,775,99.9918520950
1.1,818,99.9928158363
1.1,861,99.9936793118
1.1,904,99.9944348560
1.1,947,99.9950863133
1.1,990,99.9956403485
1.1,1033,99.9961086434
1.1,1076,99.9965401099
1.1,1119,99.9969337807
1.1,1162,99.9972640731
1.1,1205,99.9975512509
1.1,1248,99.9978029875
1.1,1291,99.9980300870
1.1,1334,99.9982335972
1.1,1377,99.9984149234
1.1,1420,99.9985750749
1.1,1463,99.9987184519
1.1,1506,99.9988456967
1.1,1549,99.9989603752
1.1,1592,99.9990625140
1.1,1635,99.9991524138
1.1,1678,99.9992321287
1.1,1721,99.9993032523
1.1,1764,99.9993684609
1.1,1807,99.9994277750
1.1,1850,99.9994828942
1.1,1893,99.9995314362
1.1,1936,99.9995737091
1.1,1979,99.9996123752
1.1,2022,99.9996482734
1.1,2065,99.9996812183
1.1,2108,99.9997116205
1.1,2151,99.9997397447
1.1,2194,99.9997657847
1.1,2237,99.9997894274
1.1,2280,99.9998111907
1.1,2323,99.9998309651
1.1,2366,99.9998489628
1.1,2409,99.9998655431
1.1,2452,99.9998807930
1.1,2495,99.9998945706
1.1,2538,99.9999068535
1.1,2581,99.9999177969
1.1,2624,99.9999274619
1.1,2667,99.9999360005
1.1,2710,99.9999437340
1.1,2753,99.9999506543
1.1,2796,99.9999566746
1.1,2839,99.9999620154
1.1,2882,99.9999666991
1.1,2925,99.9999707067
1.1,2968,99.9999741852
1.1,3011,99.9999772393
1.1,3054,99.9999799670
1.1,3097,99.9999823241
1.1,3140,99.9999844376
1.1,3183,99.9999863498
1.1,3226,99.9999880762
1.1,3269,99.9999896432
