R_angstrom,method,root_index,E_root_Ha,overlap_sq_D0,overlap_sq_D1,overlap_sq_D2,overlap_sq_Q1
0.85,CIPSI_EN_SQD,3,-75.2139730743,6.993817e-37,1.096110e-28,4.508524e-28,9.999677e-01
0.85,CIPSI_EN_SQD,4,-75.1841362016,4.255624e-38,2.279900e-29,1.283906e-28,4.376720e-07
0.85,CIPSI_EN_SQD,5,-75.1196514998,2.796052e-34,1.208331e-29,1.398535e-11,4.643273e-28
0.85,CIPSI_EN_SQD,6,-75.1196341920,2.048287e-40,1.001148e-28,4.158359e-29,5.396833e-09
0.85,CIPSI_EN_SQD,7,-75.0699251274,3.487504e-35,1.680490e-29,3.356562e-10,3.402780e-27
0.85,CIPSI_EN_SQD,8,-75.0604171808,3.307063e-10,7.547442e-30,5.698705e-27,8.339094e-35
0.85,CIPSI_EN_SQD,9,-75.0603970342,1.340231e-29,5.733312e-10,1.658816e-33,6.458281e-30
0.9,ExtSQD,0,-75.5529667349,9.999972e-01,1.208353e-23,4.343239e-40,3.030268e-36
0.9,ExtSQD,1,-75.5529511750,1.208340e-23,9.999968e-01,2.987328e-28,3.481787e-29
0.9,ExtSQD,2,-75.3897790747,2.300108e-38,3.039378e-28,9.999966e-01,9.994781e-31
0.9,ExtSQD,3,-75.2426864948,3.555423e-36,3.497874e-29,1.669542e-30,9.991680e-01
0.9,ExtSQD,4,-75.2118728220,3.597070e-36,1.549974e-30,2.502587e-29,5.340047e-04
0.9,ExtSQD,5,-75.1477661897,1.491788e-35,8.333109e-30,1.767486e-31,4.006978e-05
0.9,ExtSQD,6,-75.1477053333,2.719452e-37,4.779832e-28,1.330235e-10,5.655959e-25
0.9,ExtSQD,7,-75.0995297761,3.337003e-10,6.895628e-32,1.482905e-34,3.828039e-27
0.9,ExtSQD,8,-75.0989812711,3.736744e-38,7.497983e-31,1.070912e-10,1.111515e-28
0.9,ExtSQD,9,-75.0989764537,7.816412e-32,4.215784e-10,3.074001e-29,1.749784e-27
0.9,CIPSI_EN_SQD,0,-75.5528785465,9.999875e-01,4.218365e-21,2.791522e-38,1.798739e-36
0.9,CIPSI_EN_SQD,1,-75.5528695048,4.218347e-21,9.999882e-01,1.197306e-30,1.607883e-29
0.9,CIPSI_EN_SQD,2,-75.3896896288,7.186099e-38,2.183157e-30,9.999868e-01,4.470411e-28
0.9,CIPSI_EN_SQD,3,-75.2434777228,2.087387e-36,1.313401e-29,4.243703e-28,9.999646e-01
0.9,CIPSI_EN_SQD,4,-75.2122641505,4.245644e-37,1.994769e-30,9.615588e-29,3.797802e-06
0.9,CIPSI_EN_SQD,5,-75.1490631957,2.338473e-38,1.242519e-28,2.795275e-11,5.770147e-28
0.9,CIPSI_EN_SQD,6,-75.1490168297,1.360348e-33,2.644824e-29,5.548525e-28,2.318981e-08
0.9,CIPSI_EN_SQD,7,-75.1002574666,3.355574e-37,6.186023e-29,5.434578e-12,1.484815e-31
0.9,CIPSI_EN_SQD,8,-75.0997225731,3.900310e-10,9.986354e-32,7.944755e-36,4.979913e-28
0.9,CIPSI_EN_SQD,9,-75.0996968781,1.469089e-31,1.998000e-10,1.541090e-29,4.960135e-27
0.95,ExtSQD,0,-75.5589213653,9.999972e-01,1.585454e-23,8.793786e-38,1.123507e-35
0.95,ExtSQD,1,-75.5589056896,1.585451e-23,9.999967e-01,2.878362e-28,3.290769e-28
0.95,ExtSQD,2,-75.3981096529,1.690854e-39,2.951912e-28,9.999965e-01,2.987170e-27
0.95,ExtSQD,3,-75.2661740275,1.923596e-36,3.335892e-28,3.012238e-27,9.992088e-01
0.95,ExtSQD,4,-75.2339520098,2.911297e-35,3.393060e-31,3.802877e-30,4.884068e-04
0.95,ExtSQD,5,-75.1711848984,3.543368e-35,4.916331e-31,9.206648e-30,4.146906e-05
0.95,ExtSQD,6,-75.1711244418,9.484340e-37,4.037044e-29,3.433574e-11,9.626806e-28
0.95,ExtSQD,7,-75.1335920950,6.077247e-10,2.101147e-32,1.268091e-33,6.639836e-27
0.95,ExtSQD,8,-75.1330323040,4.443933e-32,1.118899e-09,4.300452e-28,2.410943e-29
0.95,ExtSQD,9,-75.1232480338,1.586066e-37,6.425314e-32,3.595021e-10,4.351511e-28
0.95,CIPSI_EN_SQD,0,-75.5588461200,9.999887e-01,7.374789e-22,7.962153e-40,1.944611e-36
0.95,CIPSI_EN_SQD,1,-75.5588363136,7.374759e-22,9.999892e-01,3.168267e-27,1.882897e-27
0.95,CIPSI_EN_SQD,2,-75.3980319271,1.361662e-37,3.128006e-27,9.999875e-01,6.473564e-27
0.95,CIPSI_EN_SQD,3,-75.2669848599,1.075182e-34,1.888475e-27,6.457328e-27,9.999684e-01
0.95,CIPSI_EN_SQD,4,-75.2343556762,8.546606e-37,5.830543e-30,8.469049e-30,2.855010e-06
0.95,CIPSI_EN_SQD,5,-75.1724996909,1.876610e-37,7.505472e-30,2.010778e-11,9.234473e-28
0.95,CIPSI_EN_SQD,6,-75.1724555898,5.414238e-34,5.747282e-28,6.579585e-28,1.062710e-08
0.95,CIPSI_EN_SQD,7,-75.1337866614,1.687761e-10,1.810037e-33,1.477016e-35,2.660337e-27
0.95,CIPSI_EN_SQD,8,-75.1337656647,5.055848e-32,2.041887e-11,3.018935e-29,5.731075e-29
0.95,CIPSI_EN_SQD,9,-75.1245343427,2.953954e-37,3.782197e-32,1.905185e-11,7.493319e-28
1.0,ExtSQD,0,-75.5594350057,9.999970e-01,3.542761e-23,2.744856e-37,2.199030e-35
1.0,ExtSQD,1,-75.5594191619,3.542742e-23,9.999965e-01,4.386120e-28,5.667802e-29
1.0,ExtSQD,2,-75.4010109898,2.041269e-36,4.417289e-28,9.999962e-01,2.968029e-27
1.0,ExtSQD,3,-75.2855843502,5.951446e-35,5.789133e-29,3.023348e-27,9.992530e-01
1.0,ExtSQD,4,-75.2521311097,1.151857e-35,2.306430e-29,3.218834e-28,4.432563e-04
1.0,ExtSQD,5,-75.1905921072,1.181309e-33,1.012206e-29,7.701004e-28,4.214281e-05
1.0,ExtSQD,6,-75.1905321490,7.652396e-38,1.600226e-30,1.043742e-09,9.125779e-25
1.0,ExtSQD,7,-75.1634454513,3.514369e-30,2.462354e-09,2.659548e-28,1.378099e-27
1.0,ExtSQD,8,-75.1433390719,1.409688e-37,1.136160e-28,3.678181e-09,1.081914e-27
1.0,ExtSQD,9,-75.1010225977,2.416637e-30,1.721168e-09,9.982420e-33,3.456452e-27
1.0,CIPSI_EN_SQD,0,-75.5593520120,9.999871e-01,2.375476e-22,4.421365e-37,2.691051e-36
1.0,CIPSI_EN_SQD,1,-75.5593318745,2.375451e-22,9.999862e-01,3.386978e-28,7.152228e-30
1.0,CIPSI_EN_SQD,2,-75.4009223750,3.398371e-38,3.393332e-28,9.999853e-01,1.845686e-27
1.0,CIPSI_EN_SQD,3,-75.2863688987,3.012102e-34,6.444289e-30,1.856552e-27,9.999654e-01
1.0,CIPSI_EN_SQD,4,-75.2525152498,1.476201e-33,7.550188e-29,2.757430e-27,2.619513e-06
1.0,CIPSI_EN_SQD,5,-75.1918797296,1.853751e-37,1.204606e-28,5.281340e-14,5.971685e-28
1.0,CIPSI_EN_SQD,6,-75.1918371559,6.671192e-33,2.469008e-28,1.054948e-28,5.043220e-11
1.0,CIPSI_EN_SQD,7,-75.1641654767,1.413027e-31,5.166238e-12,5.806141e-30,1.869076e-30
1.0,CIPSI_EN_SQD,8,-75.1445931697,1.315646e-37,2.309860e-33,2.825405e-11,5.773476e-28
1.0,CIPSI_EN_SQD,9,-75.1020040000,3.246706e-31,3.827576e-10,2.243641e-30,4.361609e-27
1.05,ExtSQD,0,-75.5561195624,9.999969e-01,4.636679e-25,1.605769e-35,4.810072e-36
1.05,ExtSQD,1,-75.5561063419,4.636591e-25,9.999971e-01,1.496213e-29,1.350994e-31
1.05,ExtSQD,2,-75.4001258135,2.091190e-35,1.542987e-29,9.999969e-01,1.003068e-27
1.05,ExtSQD,3,-75.3022152327,8.315287e-36,1.079006e-31,1.063099e-27,9.994372e-01
1.05,ExtSQD,4,-75.2678389044,3.543682e-37,2.736978e-28,1.140697e-27,3.204277e-04
1.05,ExtSQD,5,-75.2074197975,5.648573e-33,5.868443e-30,2.010878e-27,2.389585e-05
1.05,ExtSQD,6,-75.2073457513,4.410758e-34,4.188799e-28,7.985442e-10,5.317073e-26
1.05,ExtSQD,7,-75.1915297392,3.283765e-30,2.857138e-09,2.004234e-28,1.024138e-27
1.05,ExtSQD,8,-75.1912034515,2.924617e-09,4.256925e-29,3.637942e-29,1.462289e-29
1.05,ExtSQD,9,-75.1606272156,6.566027e-34,4.788730e-29,1.155076e-08,1.109537e-30
1.05,CIPSI_EN_SQD,0,-75.5560132145,9.999842e-01,4.020758e-22,2.252347e-36,2.346742e-37
1.05,CIPSI_EN_SQD,1,-75.5560062419,4.020743e-22,9.999851e-01,2.030462e-29,2.632413e-28
1.05,CIPSI_EN_SQD,2,-75.4000293766,2.641003e-36,2.075561e-29,9.999852e-01,7.002070e-28
1.05,CIPSI_EN_SQD,3,-75.3028911292,1.062666e-33,2.660547e-28,7.231878e-28,9.999687e-01
1.05,CIPSI_EN_SQD,4,-75.2681461433,3.305638e-38,8.672478e-31,8.261095e-27,1.528874e-06
1.05,CIPSI_EN_SQD,5,-75.2084928223,1.247669e-36,5.317946e-28,4.907490e-12,1.969821e-28
1.05,CIPSI_EN_SQD,6,-75.2084600646,6.227902e-33,5.951351e-28,8.342317e-29,6.620676e-09
1.05,CIPSI_EN_SQD,7,-75.1917702902,6.563578e-10,7.887304e-30,3.369848e-29,5.218058e-29
1.05,CIPSI_EN_SQD,8,-75.1917512267,9.563006e-31,2.063607e-10,1.581544e-31,1.630705e-31
1.05,CIPSI_EN_SQD,9,-75.1616659982,2.482491e-36,1.623444e-28,1.516076e-11,5.360374e-27
1.1,ExtSQD,0,-75.5501599235,9.999965e-01,4.397411e-25,6.705256e-38,1.069172e-35
1.1,ExtSQD,1,-75.5501472562,4.397805e-25,9.999968e-01,2.882065e-27,7.608127e-29
1.1,ExtSQD,2,-75.3966598905,5.623316e-38,2.839212e-27,9.999965e-01,1.894767e-29
1.1,ExtSQD,3,-75.3165694877,2.408467e-34,7.758267e-29,1.729056e-29,9.994640e-01
1.1,ExtSQD,4,-75.2817818932,1.155936e-34,6.181093e-29,6.417543e-29,2.990590e-04
1.1,ExtSQD,5,-75.2220045876,1.024545e-32,1.218346e-29,3.036367e-29,2.115882e-05
1.1,ExtSQD,6,-75.2219294644,1.240875e-35,6.176332e-29,3.188570e-09,4.061142e-26
1.1,ExtSQD,7,-75.2166634969,1.425810e-30,4.405142e-09,9.711136e-28,1.835043e-27
1.1,ExtSQD,8,-75.2163572164,5.214954e-09,9.242902e-31,6.325904e-33,5.252028e-34
1.1,ExtSQD,9,-75.1754171660,8.369944e-37,1.589988e-29,3.242705e-08,1.634116e-27
1.1,CIPSI_EN_SQD,0,-75.5500544890,9.999834e-01,8.445042e-25,1.497545e-37,2.171063e-37
1.1,CIPSI_EN_SQD,1,-75.5500423750,8.445448e-25,9.999836e-01,1.447680e-28,1.327678e-28
1.1,CIPSI_EN_SQD,2,-75.3965676026,1.898722e-37,1.478173e-28,9.999849e-01,7.282243e-28
1.1,CIPSI_EN_SQD,3,-75.3172365270,6.901141e-34,1.341333e-28,7.211771e-28,9.999702e-01
1.1,CIPSI_EN_SQD,4,-75.2820784062,1.750563e-36,1.948522e-28,9.137213e-27,7.631248e-07
1.1,CIPSI_EN_SQD,5,-75.2230632000,1.093440e-36,3.923849e-29,3.805826e-11,1.575953e-27
1.1,CIPSI_EN_SQD,6,-75.2230361747,1.124181e-32,6.381290e-29,1.235313e-28,2.486468e-10
1.1,CIPSI_EN_SQD,7,-75.2169143458,3.833087e-10,9.340130e-33,5.187794e-34,9.287421e-34
1.1,CIPSI_EN_SQD,8,-75.2169001260,1.595989e-34,5.169959e-10,3.730611e-28,1.044995e-28
1.1,CIPSI_EN_SQD,9,-75.1764384626,2.928366e-37,2.250605e-28,3.432649e-10,3.474644e-28
1.15,ExtSQD,0,-75.5424353132,9.999959e-01,4.633489e-23,3.277222e-36,5.342368e-35
1.15,ExtSQD,1,-75.5424232967,4.633463e-23,9.999964e-01,7.988946e-29,5.638513e-29
1.15,ExtSQD,2,-75.3915275053,8.461121e-36,8.106493e-29,9.999959e-01,1.058938e-26
1.15,ExtSQD,3,-75.3291560839,2.152973e-35,5.905418e-29,1.075554e-26,9.994807e-01
1.15,ExtSQD,4,-75.2944763453,2.348986e-36,5.078776e-30,5.327902e-29,2.875967e-04
1.15,ExtSQD,5,-75.2395088821,3.157934e-30,6.770554e-09,1.385840e-27,8.443115e-27
1.15,ExtSQD,6,-75.2392223771,8.969325e-09,4.807839e-30,4.689616e-27,2.098512e-30
1.15,ExtSQD,7,-75.2349561889,1.372874e-32,2.210238e-29,6.063461e-28,1.842452e-05
1.15,ExtSQD,8,-75.2348797273,1.538791e-34,1.285707e-27,8.838819e-09,1.248185e-25
1.15,ExtSQD,9,-75.1883031404,2.639661e-31,5.205966e-33,7.866475e-08,3.693609e-31
1.15,CIPSI_EN_SQD,0,-75.5423322778,9.999836e-01,4.074721e-21,1.845667e-37,8.917438e-37
1.15,CIPSI_EN_SQD,1,-75.5423221209,4.074703e-21,9.999839e-01,1.624886e-28,4.814146e-29
1.15,CIPSI_EN_SQD,2,-75.3914361016,1.841511e-35,1.657898e-28,9.999849e-01,1.508680e-26
1.15,CIPSI_EN_SQD,3,-75.3298236607,3.378493e-34,5.083321e-29,1.514706e-26,9.999723e-01
1.15,CIPSI_EN_SQD,4,-75.2947768833,5.749391e-34,1.184868e-30,1.582809e-28,3.934278e-07
1.15,CIPSI_EN_SQD,5,-75.2397771490,1.533528e-29,1.219034e-09,1.439915e-28,1.212693e-27
1.15,CIPSI_EN_SQD,6,-75.2397704446,1.443535e-09,2.272918e-29,1.301836e-27,5.982794e-30
1.15,CIPSI_EN_SQD,7,-75.2360135114,2.401286e-35,2.030140e-27,2.511904e-10,1.502350e-26
1.15,CIPSI_EN_SQD,8,-75.2359859447,9.247880e-33,1.017514e-28,2.981693e-27,1.126777e-07
1.15,CIPSI_EN_SQD,9,-75.1893200760,3.331941e-33,2.541400e-31,3.693173e-10,1.141874e-31
1.2,ExtSQD,0,-75.5335992593,9.999951e-01,2.241743e-23,3.191898e-35,3.182223e-35
1.2,ExtSQD,1,-75.5335880349,2.241726e-23,9.999959e-01,1.446457e-27,4.321704e-29
1.2,ExtSQD,2,-75.3854125421,6.589272e-36,1.443513e-27,9.999948e-01,6.386770e-27
1.2,ExtSQD,3,-75.3402144792,4.007552e-35,4.743352e-29,6.213333e-27,9.994880e-01
1.2,ExtSQD,4,-75.3061463308,1.422405e-35,2.310099e-28,1.504762e-27,2.849801e-04
1.2,ExtSQD,5,-75.2601543181,4.415883e-30,1.041652e-08,2.933379e-28,6.203700e-28
1.2,ExtSQD,6,-75.2598862282,1.510166e-08,5.584955e-30,1.892434e-27,3.482412e-30
1.2,ExtSQD,7,-75.2465068242,5.473742e-33,2.928324e-28,7.113671e-28,1.585884e-05
1.2,ExtSQD,8,-75.2464286818,4.259006e-33,5.413996e-29,2.065751e-08,6.958518e-27
1.2,ExtSQD,9,-75.1995180300,6.118701e-30,4.817272e-28,1.739694e-07,3.736212e-30
1.2,CIPSI_EN_SQD,0,-75.5334894264,9.999827e-01,7.115978e-22,2.620890e-37,4.271995e-36
1.2,CIPSI_EN_SQD,1,-75.5334823932,7.115943e-22,9.999836e-01,3.006470e-27,4.303143e-29
1.2,CIPSI_EN_SQD,2,-75.3853132362,1.933958e-35,2.935829e-27,9.999838e-01,1.242174e-27
1.2,CIPSI_EN_SQD,3,-75.3408701853,1.731371e-34,4.405527e-29,1.249475e-27,9.999728e-01
1.2,CIPSI_EN_SQD,4,-75.3064307367,3.606210e-34,5.298944e-29,4.694656e-27,2.498148e-07
1.2,CIPSI_EN_SQD,5,-75.2604340948,2.213005e-30,1.370881e-09,1.623048e-27,1.961983e-27
1.2,CIPSI_EN_SQD,6,-75.2604175674,1.432462e-09,5.579414e-31,6.844722e-27,3.662587e-31
1.2,CIPSI_EN_SQD,7,-75.2475506390,9.841945e-35,1.521671e-27,6.922747e-10,4.885212e-27
1.2,CIPSI_EN_SQD,8,-75.2475242307,7.260453e-33,9.078742e-28,3.101922e-28,1.521441e-07
1.2,CIPSI_EN_SQD,9,-75.2004905527,2.201189e-30,1.168499e-28,2.212057e-09,4.641578e-29
1.25,ExtSQD,0,-75.5241406216,9.999941e-01,5.936320e-23,8.592946e-36,1.314858e-36
1.25,ExtSQD,1,-75.5241304076,5.936294e-23,9.999951e-01,2.061709e-28,3.518052e-29
1.25,ExtSQD,2,-75.3788312190,1.564935e-35,2.105841e-28,9.999930e-01,7.860539e-27
1.25,ExtSQD,3,-75.3499057104,3.827966e-36,2.528596e-29,8.025671e-27,9.994887e-01
1.25,ExtSQD,4,-75.3168914317,6.725622e-36,1.574430e-27,8.203373e-28,2.885493e-04
1.25,ExtSQD,5,-75.2786896684,2.954665e-30,1.586380e-08,5.853555e-28,1.911715e-27
1.25,ExtSQD,6,-75.2784361346,2.506936e-08,2.295080e-30,9.101500e-29,9.640316e-30
1.25,ExtSQD,7,-75.2568026965,3.270364e-33,1.215555e-30,1.087128e-26,1.374639e-05
1.25,ExtSQD,8,-75.2567223881,1.313301e-33,2.070732e-28,4.487465e-08,1.468520e-27
1.25,ExtSQD,9,-75.2101947954,3.067670e-30,9.004484e-09,1.447644e-30,2.514699e-28
1.25,CIPSI_EN_SQD,0,-75.5240448089,9.999835e-01,1.048745e-20,4.708061e-40,2.846214e-35
1.25,CIPSI_EN_SQD,1,-75.5240401116,1.048742e-20,9.999846e-01,5.996471e-31,2.200379e-28
1.25,CIPSI_EN_SQD,2,-75.3787500349,2.332156e-36,3.094997e-31,9.999850e-01,5.538386e-27
1.25,CIPSI_EN_SQD,3,-75.3505641151,3.271388e-35,2.150893e-28,5.560068e-27,9.999741e-01
1.25,CIPSI_EN_SQD,4,-75.3171872031,3.697874e-34,1.230429e-29,8.837820e-29,2.017603e-07
1.25,CIPSI_EN_SQD,5,-75.2789964868,7.449603e-30,1.004705e-09,2.179106e-27,1.335613e-27
1.25,CIPSI_EN_SQD,6,-75.2789891577,2.842505e-09,5.637723e-30,1.253915e-28,4.847770e-28
1.25,CIPSI_EN_SQD,7,-75.2578407196,1.061399e-34,5.544559e-29,4.111433e-11,5.295281e-29
1.25,CIPSI_EN_SQD,8,-75.2578159147,4.087335e-33,9.367796e-30,1.928963e-28,9.843198e-08
1.25,CIPSI_EN_SQD,9,-75.2106338305,3.715657e-31,2.131132e-09,3.432206e-28,1.344669e-28
1.3,ExtSQD,0,-75.5144270552,9.999927e-01,1.222531e-24,7.295141e-36,2.452298e-36
1.3,ExtSQD,1,-75.5144181176,1.222596e-24,9.999941e-01,2.466376e-29,8.628948e-28
1.3,ExtSQD,2,-75.3721733350,2.337200e-36,2.471568e-29,9.999903e-01,2.716532e-25
1.3,ExtSQD,3,-75.3583605557,2.938048e-34,8.784807e-28,2.708872e-25,9.994873e-01
1.3,ExtSQD,4,-75.3267570020,3.444061e-34,2.708223e-28,2.589044e-27,2.944507e-04
1.3,ExtSQD,5,-75.2952296253,2.750397e-30,2.343836e-08,8.604575e-27,2.908773e-27
1.3,ExtSQD,6,-75.2949833550,4.132289e-08,3.740753e-29,4.757136e-31,5.203165e-27
