R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
2.0,Q1,-75.4041630658,-75.4035487568,-75.4039886692,0.6143,0.1744,3.750000,3.745306,3.749965
2.1,D0,-75.4204581874,-75.4202709112,-75.4203117611,0.1873,0.1464,0.750000,0.750064,0.750041
2.1,D1,-75.4204434085,-75.4201616450,-75.4202971041,0.2818,0.1463,0.750000,0.750490,0.750043
2.1,D2,-75.3992963585,-75.3988363724,-75.3991439144,0.4600,0.1524,0.750000,0.757844,0.750047
2.1,Q1,-75.4057263244,-75.4050953874,-75.4055714385,0.6309,0.1549,3.750000,3.742050,3.749981
2.2,D0,-75.4172712066,-75.4170651056,-75.4171143449,0.2061,0.1569,0.750000,0.750088,0.750045
2.2,D1,-75.4172563916,-75.4169300109,-75.4170999484,0.3264,0.1564,0.750000,0.751092,0.750046
2.2,D2,-75.4019478570,-75.4014643340,-75.4017949702,0.4835,0.1529,0.750000,0.764012,0.750067
2.2,Q1,-75.4069031986,-75.4062532530,-75.4067431743,0.6499,0.1600,3.750000,3.735861,3.749960
2.3,D0,-75.4150139130,-75.4147912007,-75.4148581047,0.2227,0.1558,0.750000,0.750135,0.750043
2.3,D1,-75.4149990736,-75.4146311111,-75.4148501682,0.3680,0.1489,0.750000,0.752488,0.750043
2.3,D2,-75.4039868394,-75.4034763548,-75.4038366042,0.5105,0.1502,0.750000,0.775863,0.750082
2.3,Q1,-75.4077838206,-75.4071155542,-75.4076258973,0.6683,0.1579,3.750000,3.723986,3.749944
2.4,D0,-75.4134236040,-75.4131865438,-75.4132362329,0.2371,0.1874,0.750000,0.750225,0.750111
2.4,D1,-75.4134087492,-75.4130045038,-75.4132293908,0.4042,0.1794,0.750000,0.755610,0.750101
2.4,D2,-75.4055347803,-75.4049930982,-75.4053593152,0.5417,0.1755,0.750000,0.798750,0.750142
2.4,Q1,-75.4084298435,-75.4077467079,-75.4082671234,0.6831,0.1627,3.750000,3.701075,3.749901
2.5,D0,-75.4123013720,-75.4111806957,-75.4121546117,1.1207,0.1468,0.750000,0.752164,0.750041
2.5,D1,-75.4122865087,-75.4111147292,-75.4121312190,1.1718,0.1553,0.750000,0.751684,0.750039
2.5,D2,-75.4066908682,-75.4055848717,-75.4065278639,1.1060,0.1630,0.750000,0.825076,0.750077
2.5,Q1,-75.4088882513,-75.4082379937,-75.4087205275,0.6503,0.1677,3.750000,3.674948,3.749951
2.6,D0,-75.4115041670,-75.4110574121,-75.4113674684,0.4468,0.1367,0.750000,0.769847,0.750041
2.6,D1,-75.4114893001,-75.4112225614,-75.4113429445,0.2667,0.1464,0.750000,0.750439,0.750040
2.6,D2,-75.4075387403,-75.4069518456,-75.4073930815,0.5869,0.1457,0.750000,0.879833,0.750274
2.6,Q1,-75.4091991547,-75.4085321044,-75.4090446719,0.6671,0.1545,3.750000,3.619988,3.749751
2.7,D0,-75.4109327294,-75.4104763319,-75.4107965491,0.4564,0.1362,0.750000,0.789843,0.750043
2.7,D1,-75.4109178628,-75.4106445485,-75.4107731127,0.2733,0.1448,0.750000,0.750803,0.750040
2.7,D2,-75.4081493352,-75.4075195935,-75.4080075444,0.6297,0.1418,0.750000,0.991822,0.750275
2.7,Q1,-75.4093982515,-75.4087393808,-75.4092499561,0.6589,0.1483,3.750000,3.507983,3.749753
2.8,D0,-75.4105194679,-75.4100622795,-75.4103908307,0.4572,0.1286,0.750000,0.825926,0.750064
2.8,D1,-75.4105046044,-75.4102261776,-75.4103685753,0.2784,0.1360,0.750000,0.751511,0.750035
2.8,D2,-75.4085814631,-75.4078987467,-75.4084468143,0.6827,0.1346,0.750000,1.177442,0.750714
2.8,Q1,-75.4095163307,-75.4088784533,-75.4093731052,0.6379,0.1432,3.750000,3.322346,3.749311
2.9,D0,-75.4102184075,-75.4097695441,-75.4100916882,0.4489,0.1267,0.750000,0.885055,0.750098
2.9,D1,-75.4102035489,-75.4099211703,-75.4100701071,0.2824,0.1334,0.750000,0.752888,0.750034
2.9,D2,-75.4088820274,-75.4081370010,-75.4087502739,0.7450,0.1318,0.750000,1.436691,0.751141
2.9,Q1,-75.4095782407,-75.4089745768,-75.4094383743,0.6037,0.1399,3.750000,3.063083,3.748883
3.0,D0,-75.4099978550,-75.4095654173,-75.4098723461,0.4324,0.1255,0.750000,0.970864,0.750140
3.0,D1,-75.4099830028,-75.4096975890,-75.4098492451,0.2854,0.1338,0.750000,0.755551,0.750034
3.0,D2,-75.4090869743,-75.4082749674,-75.4089559327,0.8120,0.1310,0.750000,1.728011,0.751910
3.0,Q1,-75.4096026616,-75.4090425050,-75.4094639239,0.5602,0.1387,3.750000,2.771750,3.748113
