R_angstrom,method,orbital_index,occupation
0.95,cipsi,1,1.97419425
0.95,cipsi,2,1.96422249
0.95,cipsi,3,0.99381598
0.95,cipsi,4,0.02773510
0.95,cipsi,5,0.01667340
0.95,cipsi,6,0.00968502
0.95,cipsi,7,0.00740686
0.95,cipsi,8,0.00500972
0.95,cipsi,9,0.00460891
0.95,cipsi,10,0.00393119
0.95,cipsi,11,0.00377204
0.95,cipsi,12,0.00376568
0.95,cipsi,13,0.00107490
0.95,cipsi,14,0.00070251
0.95,cipsi,15,0.00066760
0.95,cipsi,16,0.00053680
0.95,cipsi,17,0.00006059
1.0,ref,0,1.98190589
1.0,ref,1,1.97392994
1.0,ref,2,1.96022052
1.0,ref,3,0.99371535
1.0,ref,4,0.03199637
1.0,ref,5,0.01692037
1.0,ref,6,0.00962097
1.0,ref,7,0.00751638
1.0,ref,8,0.00498060
1.0,ref,9,0.00453676
1.0,ref,10,0.00385245
1.0,ref,11,0.00376910
1.0,ref,12,0.00376547
1.0,ref,13,0.00121178
1.0,ref,14,0.00072506
1.0,ref,15,0.00071866
1.0,ref,16,0.00055015
1.0,ref,17,0.00006418
1.0,ext,0,1.98191010
1.0,ext,1,1.97393887
1.0,ext,2,1.96023605
1.0,ext,3,0.99372358
1.0,ext,4,0.03198075
1.0,ext,5,0.01691809
1.0,ext,6,0.00961758
1.0,ext,7,0.00751012
1.0,ext,8,0.00497772
1.0,ext,9,0.00453319
1.0,ext,10,0.00385016
1.0,ext,11,0.00376922
1.0,ext,12,0.00376469
1.0,ext,13,0.00121186
1.0,ext,14,0.00072465
1.0,ext,15,0.00071889
1.0,ext,16,0.00055018
1.0,ext,17,0.00006431
1.0,cipsi,0,1.98194628
1.0,cipsi,1,1.97396513
1.0,cipsi,2,1.96026634
1.0,cipsi,3,0.99373126
1.0,cipsi,4,0.03197163
1.0,cipsi,5,0.01690190
1.0,cipsi,6,0.00960463
1.0,cipsi,7,0.00750494
1.0,cipsi,8,0.00497114
1.0,cipsi,9,0.00451965
1.0,cipsi,10,0.00383565
1.0,cipsi,11,0.00376283
1.0,cipsi,12,0.00375473
1.0,cipsi,13,0.00120975
1.0,cipsi,14,0.00072516
1.0,cipsi,15,0.00071530
1.0,cipsi,16,0.00054858
1.0,cipsi,17,0.00006511
1.05,ref,0,1.98173007
1.05,ref,1,1.97373247
1.05,ref,2,1.95550819
1.05,ref,3,0.99364067
1.05,ref,4,0.03697875
1.05,ref,5,0.01712112
1.05,ref,6,0.00954179
1.05,ref,7,0.00759268
1.05,ref,8,0.00493208
1.05,ref,9,0.00444505
1.05,ref,10,0.00375980
1.05,ref,11,0.00375605
