R_angstrom,n_configs,cumulative_weight
0.9,2461,99.9999976263
0.9,2491,99.9999979517
0.9,2521,99.9999982478
0.9,2551,99.9999985084
0.9,2581,99.9999987402
0.9,2611,99.9999989446
0.9,2641,99.9999991245
0.9,2671,99.9999992821
0.9,2701,99.9999994206
0.9,2731,99.9999995451
0.9,2761,99.9999996512
0.9,2791,99.9999997412
0.9,2821,99.9999998172
0.9,2851,99.9999998787
0.9,2881,99.9999999242
0.9,2911,99.9999999568
0.9,2941,99.9999999799
0.9,2971,99.9999999933
0.9,3001,99.9999999999
0.9,3031,100.0000000000
0.9,3060,100.0000000000
0.95,1,95.7626792066
0.95,31,99.1140008715
0.95,61,99.7227143442
0.95,91,99.8814952206
0.95,121,99.9355853543
0.95,151,99.9579742407
0.95,181,99.9685133673
0.95,211,99.9752843468
0.95,241,99.9801129916
0.95,271,99.9836046911
0.95,301,99.9863153160
0.95,331,99.9884251214
0.95,361,99.9899785811
0.95,391,99.9912514964
0.95,421,99.9923126848
0.95,451,99.9932377593
0.95,481,99.9940326317
0.95,511,99.9947227177
0.95,541,99.9953249198
0.95,571,99.9958327341
0.95,601,99.9962773617
0.95,631,99.9966646251
0.95,661,99.9970135367
0.95,691,99.9973273448
0.95,721,99.9976107184
0.95,751,99.9978705211
0.95,781,99.9981093533
0.95,811,99.9983216711
0.95,841,99.9985124057
0.95,871,99.9986847119
0.95,901,99.9988381296
0.95,931,99.9989723946
0.95,961,99.9990900872
0.95,991,99.9991954605
0.95,1021,99.9992848587
0.95,1051,99.9993613231
0.95,1081,99.9994281707
0.95,1111,99.9994861714
0.95,1141,99.9995370955
0.95,1171,99.9995823547
0.95,1201,99.9996229386
0.95,1231,99.9996591311
0.95,1261,99.9996922748
0.95,1291,99.9997222529
0.95,1321,99.9997493935
0.95,1351,99.9997739042
0.95,1381,99.9997961595
0.95,1411,99.9998168242
0.95,1441,99.9998357070
0.95,1471,99.9998528858
0.95,1501,99.9998685246
0.95,1531,99.9998826708
0.95,1561,99.9998953134
0.95,1591,99.9999067740
0.95,1621,99.9999168477
0.95,1651,99.9999260247
0.95,1681,99.9999343851
0.95,1711,99.9999418034
0.95,1741,99.9999481503
0.95,1771,99.9999537994
0.95,1801,99.9999589726
0.95,1831,99.9999636387
0.95,1861,99.9999678502
0.95,1891,99.9999715900
0.95,1921,99.9999748779
0.95,1951,99.9999777745
0.95,1981,99.9999803772
0.95,2011,99.9999826358
0.95,2041,99.9999846928
0.95,2071,99.9999865333
0.95,2101,99.9999881396
0.95,2131,99.9999895500
0.95,2161,99.9999908186
0.95,2191,99.9999919541
0.95,2221,99.9999929292
0.95,2251,99.9999937870
0.95,2281,99.9999945269
0.95,2311,99.9999951904
0.95,2341,99.9999957870
0.95,2371,99.9999963202
0.95,2401,99.9999967922
0.95,2431,99.9999972030
0.95,2461,99.9999975639
0.95,2491,99.9999978849
0.95,2521,99.9999981797
0.95,2551,99.9999984470
0.95,2581,99.9999986862
0.95,2611,99.9999988997
0.95,2641,99.9999990865
0.95,2671,99.9999992513
0.95,2701,99.9999993975
0.95,2731,99.9999995248
0.95,2761,99.9999996359
0.95,2791,99.9999997327
0.95,2821,99.9999998141
0.95,2851,99.9999998783
0.95,2881,99.9999999241
0.95,2911,99.9999999574
0.95,2941,99.9999999801
0.95,2971,99.9999999933
0.95,3001,99.9999999999
0.95,3031,100.0000000000
0.95,3060,100.0000000000
1.0,1,95.5404463546
1.0,31,99.0971665406
1.0,61,99.7195772785
1.0,91,99.8799937637
1.0,121,99.9327875612
1.0,151,99.9548012977
1.0,181,99.9668918118
