twist_angle_deg,n_configs,cumulative_weight
50.0,1561,99.9999581292
50.0,1591,99.9999627808
50.0,1621,99.9999668872
50.0,1651,99.9999705778
50.0,1681,99.9999739043
50.0,1711,99.9999768476
50.0,1741,99.9999794818
50.0,1771,99.9999818032
50.0,1801,99.9999838502
50.0,1831,99.9999856822
50.0,1861,99.9999873518
50.0,1891,99.9999888601
50.0,1921,99.9999901753
50.0,1951,99.9999913204
50.0,1981,99.9999923403
50.0,2011,99.9999932714
50.0,2041,99.9999941041
50.0,2071,99.9999948574
50.0,2101,99.9999955313
50.0,2131,99.9999961238
50.0,2161,99.9999966412
50.0,2191,99.9999971045
50.0,2221,99.9999975035
50.0,2251,99.9999978456
50.0,2281,99.9999981510
50.0,2311,99.9999984184
50.0,2341,99.9999986604
50.0,2371,99.9999988713
50.0,2401,99.9999990498
50.0,2431,99.9999992028
50.0,2461,99.9999993335
50.0,2491,99.9999994481
50.0,2521,99.9999995447
50.0,2551,99.9999996275
50.0,2581,99.9999996995
50.0,2611,99.9999997619
50.0,2641,99.9999998125
50.0,2671,99.9999998552
50.0,2701,99.9999998888
50.0,2731,99.9999999168
50.0,2761,99.9999999394
50.0,2791,99.9999999574
50.0,2821,99.9999999721
50.0,2851,99.9999999831
50.0,2881,99.9999999903
50.0,2911,99.9999999948
50.0,2941,99.9999999978
50.0,2971,99.9999999995
50.0,3001,100.0000000000
50.0,3003,100.0000000000
60.0,1,91.7337577716
60.0,31,99.4694687038
60.0,61,99.8165199754
60.0,91,99.9176230689
60.0,121,99.9536386754
60.0,151,99.9719560155
60.0,181,99.9801997727
60.0,211,99.9846063875
60.0,241,99.9878303423
60.0,271,99.9903121437
60.0,301,99.9919838268
60.0,331,99.9932873018
60.0,361,99.9943019691
60.0,391,99.9951424613
60.0,421,99.9958587609
60.0,451,99.9964752881
60.0,481,99.9969866399
60.0,511,99.9973990944
60.0,541,99.9977544727
60.0,571,99.9980576483
60.0,601,99.9983192212
60.0,631,99.9985431603
60.0,661,99.9987335827
60.0,691,99.9988870817
60.0,721,99.9990199450
60.0,751,99.9991306890
60.0,781,99.9992223030
60.0,811,99.9993025577
60.0,841,99.9993743404
60.0,871,99.9994392090
60.0,901,99.9994962584
60.0,931,99.9995471018
60.0,961,99.9995929014
60.0,991,99.9996337879
60.0,1021,99.9996705684
60.0,1051,99.9997042125
60.0,1081,99.9997341991
60.0,1111,99.9997609014
60.0,1141,99.9997851298
60.0,1171,99.9998073666
60.0,1201,99.9998271907
60.0,1231,99.9998451379
60.0,1261,99.9998613858
60.0,1291,99.9998761135
60.0,1321,99.9998892372
60.0,1351,99.9999008658
60.0,1381,99.9999114028
60.0,1411,99.9999208368
60.0,1441,99.9999292602
60.0,1471,99.9999369688
60.0,1501,99.9999439445
60.0,1531,99.9999501813
60.0,1561,99.9999555098
60.0,1591,99.9999602558
60.0,1621,99.9999646003
60.0,1651,99.9999685047
60.0,1681,99.9999720284
60.0,1711,99.9999751609
60.0,1741,99.9999779433
60.0,1771,99.9999804574
60.0,1801,99.9999826821
60.0,1831,99.9999846967
60.0,1861,99.9999864896
60.0,1891,99.9999880614
