R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
2.5,D1,-157.0253985718,-157.0253985606,-157.0253960573,0.0000,0.0025,0.750000,0.750000,0.750003
2.5,Q1,-156.9894779830,-156.9894757196,-156.9894651146,0.0023,0.0129,3.750000,3.749995,3.749995
2.5,D2,-156.9886489559,-156.9886472931,-156.9886355069,0.0017,0.0134,0.750000,0.750006,0.750017
2.6,D0,-157.0345316297,-157.0345285034,-157.0345284418,0.0031,0.0032,0.750000,0.750005,0.750005
2.6,D1,-157.0179025050,-157.0179024954,-157.0179003898,0.0000,0.0021,0.750000,0.750000,0.750003
2.6,Q1,-156.9907082262,-156.9907061878,-156.9906970506,0.0020,0.0112,3.750000,3.749996,3.749997
2.6,D2,-156.9898702683,-156.9898687404,-156.9898588846,0.0015,0.0114,0.750000,0.750005,0.750014
2.7,D0,-157.0262545420,-157.0262509521,-157.0262517519,0.0036,0.0028,0.750000,0.750006,0.750004
2.7,D1,-157.0106794172,-157.0106794090,-157.0106775966,0.0000,0.0018,0.750000,0.750000,0.750002
2.7,Q1,-156.9919398087,-156.9919380014,-156.9919288466,0.0018,0.0110,3.750000,3.749997,3.749986
2.7,D2,-156.9910975424,-156.9910961538,-156.9910853518,0.0014,0.0122,0.750000,0.750004,0.750026
2.8,D0,-157.0183291143,-157.0183267905,-157.0183215147,0.0023,0.0076,0.750000,0.750003,0.750011
2.8,D1,-157.0037336997,-157.0037314673,-157.0037245749,0.0022,0.0091,0.750000,0.750002,0.750016
2.8,Q1,-156.9931402920,-156.9931366300,-156.9931234690,0.0037,0.0168,3.750000,3.749986,3.749868
2.8,D2,-156.9923022957,-156.9922997286,-156.9922813369,0.0026,0.0210,0.750000,0.750016,0.750153
2.9,D0,-157.0107421091,-157.0107394375,-157.0107356475,0.0027,0.0065,0.750000,0.750003,0.750008
2.9,D1,-156.9970494198,-156.9970468834,-156.9970419124,0.0025,0.0075,0.750000,0.750002,0.750013
2.9,Q1,-156.9942701066,-156.9942668082,-156.9942559881,0.0033,0.0141,3.750000,3.749991,3.749874
