R_angstrom,method,orbital_index,occupation
1.75,cipsi,13,0.00000309
1.8,ref,0,1.99991149
1.8,ref,1,1.99933858
1.8,ref,2,1.99885165
1.8,ref,3,1.99715972
1.8,ref,4,1.99593205
1.8,ref,5,1.98947124
1.8,ref,6,1.00566250
1.8,ref,7,0.00610419
1.8,ref,8,0.00495925
1.8,ref,9,0.00167493
1.8,ref,10,0.00079247
1.8,ref,11,0.00012116
1.8,ref,12,0.00001825
1.8,ref,13,0.00000253
1.8,ext,0,1.99991147
1.8,ext,1,1.99934008
1.8,ext,2,1.99885181
1.8,ext,3,1.99716199
1.8,ext,4,1.99593348
1.8,ext,5,1.98947400
1.8,ext,6,1.00565974
1.8,ext,7,0.00610196
1.8,ext,8,0.00495923
1.8,ext,9,0.00167324
1.8,ext,10,0.00079069
1.8,ext,11,0.00012139
1.8,ext,12,0.00001825
1.8,ext,13,0.00000266
1.8,cipsi,0,1.99991175
1.8,cipsi,1,1.99934463
1.8,cipsi,2,1.99885112
1.8,cipsi,3,1.99716999
1.8,cipsi,4,1.99593635
1.8,cipsi,5,1.98948275
1.8,cipsi,6,1.00565820
1.8,cipsi,7,0.00609704
1.8,cipsi,8,0.00495138
1.8,cipsi,9,0.00166776
1.8,cipsi,10,0.00078541
1.8,cipsi,11,0.00012174
1.8,cipsi,12,0.00001859
1.8,cipsi,13,0.00000329
1.85,ref,0,1.99991605
1.85,ref,1,1.99933012
1.85,ref,2,1.99884321
1.85,ref,3,1.99711876
1.85,ref,4,1.99589493
1.85,ref,5,1.98955335
1.85,ref,6,1.00573238
1.85,ref,7,0.00614346
1.85,ref,8,0.00480017
1.85,ref,9,0.00170864
1.85,ref,10,0.00082280
1.85,ref,11,0.00011650
1.85,ref,12,0.00001741
1.85,ref,13,0.00000221
1.85,ext,0,1.99991603
1.85,ext,1,1.99933183
1.85,ext,2,1.99884338
1.85,ext,3,1.99712132
1.85,ext,4,1.99589657
1.85,ext,5,1.98955645
1.85,ext,6,1.00572928
1.85,ext,7,0.00614083
1.85,ext,8,0.00480015
1.85,ext,9,0.00170673
1.85,ext,10,0.00082089
1.85,ext,11,0.00011675
1.85,ext,12,0.00001741
1.85,ext,13,0.00000237
1.85,cipsi,0,1.99991625
1.85,cipsi,1,1.99933249
1.85,cipsi,2,1.99884397
1.85,cipsi,3,1.99712117
1.85,cipsi,4,1.99589620
1.85,cipsi,5,1.98955688
1.85,cipsi,6,1.00573112
1.85,cipsi,7,0.00614110
1.85,cipsi,8,0.00479748
1.85,cipsi,9,0.00170561
1.85,cipsi,10,0.00082160
1.85,cipsi,11,0.00011628
1.85,cipsi,12,0.00001753
1.85,cipsi,13,0.00000235
